iter	RMSE
0	0.8824765903
1	0.8510927419
2	0.8254025084
3	0.8007075827
4	0.7762141132
5	0.7531572171
6	0.7318755454
7	0.7106088838
8	0.6887390146
9	0.6689355388
10	0.6501897155
11	0.6342375198
12	0.6182803562
13	0.6033458212
14	0.5889998559
15	0.5754635037
16	0.5614154377
17	0.5487453928
18	0.5369141775
19	0.5258707164
20	0.5164681966
21	0.507536274
22	0.4976340993
23	0.4884907123
24	0.4806551869
25	0.4720755389
26	0.4658287717
27	0.4592409678
28	0.4523616381
29	0.4465278547
30	0.440490094
31	0.4354332904
32	0.4305760097
33	0.4257454907
34	0.4211360976
35	0.4167139572
36	0.4124283703
37	0.4087484735
38	0.4064393053
39	0.4028919164
40	0.3997165179
41	0.3961916409
42	0.3931590439
43	0.390198847
44	0.3872362787
45	0.384295526
46	0.3830036136
47	0.3802335217
48	0.377840774
49	0.3757089989
50	0.3737902016
51	0.3716772598
52	0.3695286711
53	0.3675168491
54	0.365334071
55	0.3633718722
56	0.361824871
57	0.3601950776
58	0.3588259193
59	0.3579450159
60	0.3569912632
61	0.3556783836
62	0.3546768058
63	0.3534991077
64	0.3524794213
65	0.3513239877
66	0.3501215801
67	0.3484206202
68	0.3472716944
69	0.3466894034
70	0.3461019049
71	0.3450971802
72	0.3442012556
73	0.3431324885
74	0.3426447403
75	0.3417321735
76	0.3412215074
77	0.3409834568
78	0.3399055977
79	0.3389283333
80	0.3383006292
81	0.3372682628
82	0.3367522026
83	0.3363163932
84	0.3360001429
85	0.3350860057
86	0.3344942141
87	0.3337768722
88	0.3336465216
89	0.333159461
90	0.3328827233
91	0.3318544827
92	0.3311601862
93	0.3309907994
94	0.3306068668
95	0.3305145774
96	0.3298027966
97	0.3293291258
98	0.3286049627
99	0.3283919441
100	0.3277783968
101	0.3268542985
102	0.3260890168
103	0.3256762277
104	0.3249589466
105	0.3242792484
106	0.3236487565
107	0.3231786632
108	0.3223884288
109	0.3220596411
110	0.3214071927
111	0.3210170936
112	0.319963328
113	0.3196919181
114	0.3192306025
115	0.3186359366
116	0.3183850776
117	0.3179171979
118	0.3172965572
119	0.3164524821
120	0.3160343005
121	0.3155478638
122	0.3149902479
123	0.3145648593
124	0.3141683439
