iter	Passed	Remaining
0	62	7736
1	62	3858
2	63	2581
3	64	1939
4	64	1555
5	65	1293
6	65	1110
7	66	973
8	67	865
9	67	776
10	68	705
11	68	647
12	69	597
13	70	555
14	70	517
15	71	485
16	71	456
17	72	430
18	72	405
19	73	384
20	73	366
21	74	349
22	75	333
23	75	318
24	76	304
25	76	292
26	77	281
27	78	270
28	78	261
29	79	251
30	79	242
31	80	234
32	81	226
33	81	219
34	82	212
35	83	206
36	83	199
37	84	193
38	84	186
39	85	181
40	85	176
41	86	170
42	86	165
43	87	161
44	88	156
45	89	152
46	89	148
47	89	144
48	90	140
49	91	136
50	91	133
51	92	129
52	93	126
53	93	123
54	94	120
55	95	117
56	95	114
57	96	111
58	97	108
59	97	105
60	97	102
61	98	100
62	98	97
63	99	94
64	100	92
65	101	90
66	102	88
67	102	86
68	103	83
69	103	81
70	104	79
71	104	77
72	105	75
73	106	73
74	106	71
75	107	69
76	107	67
77	108	65
78	108	63
79	109	61
80	110	59
81	110	58
82	111	56
83	112	54
84	112	52
85	113	51
86	113	49
87	114	48
88	114	46
89	115	44
90	115	43
91	116	41
92	117	40
93	117	38
94	118	37
95	119	35
96	120	34
97	120	33
98	121	31
99	122	30
100	122	29
101	123	27
102	124	26
103	124	25
104	125	23
105	126	22
106	126	21
107	127	20
108	128	18
109	128	17
110	129	16
111	130	15
112	131	13
113	131	12
114	132	11
115	133	10
116	133	9
117	134	7
118	135	6
119	135	5
120	136	4
121	137	3
122	137	2
123	138	1
124	139	0
